"Company Name ","Account Number","Country ","Reporting Year","Ticker Symbol ","ISIN ","Disclosure Score","Performance Band","Parent Account ","Permission","Response Status","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","Country Location"
"AKBANK T.A.Ş.","449","Turkey","2013","AKBNK TI","TRAAKBNK91N6",,"B",,"Not public","AQ*",,,"(38.963745, 35.243322)"
"ConocoPhillips","3751","USA","2013","COP US","US20825C1045","83","B",,"Public","AQ*","24,171,000","1,638,000","(37.09024, -95.712891)"
"AT&T Inc.","1113","USA","2013","T US","US00206R1023","96","B",,"Public","AQ*","948,441","7,894,626","(37.09024, -95.712891)"
"Royal Dutch Shell","16012","Netherlands","2013","RDSA NA","GB00B03MLX29","90","B",,"Public","AQ*","72,000,000","9,000,000","(52.132633, 5.291266)"
"Credit Agricole","4050","France","2013","ACA FP","FR0000045072","59","D",,"Public","AQ*","10,241","18,149","(46.227638, 2.213749)"
"Bharti Airtel","1804","India","2013","BHARTI IN","INE397D01024",,,,,"NR",,,"(20.593684, 78.96288)"
"Compass","3692","United Kingdom","2013","CPG LN","GB0005331532","82","C",,"Public","AQ*","76,140.58","9,063.97","(55.378051, -3.435973)"
"Potash Corporation of Saskatchewan Inc.","14943","Canada","2013","POT CN","CA73755L1076","71","C",,"Public","AQ*","7,649,000","1,700,000","(56.130366, -106.346771)"
"Imperial Oil","8886","Canada","2013","IMO CN","CA4530384086","62","D",,"Public","AQ*","9,780,351","1,367,700","(56.130366, -106.346771)"
"Cheung Kong","3188","Hong Kong","2013","1 HK","HK0001000014",,,,,"NR",,,"(22.396428, 114.109497)"
"Inpex Corporation","9134","Japan","2013","1605 JP","JP3294460005","96","B",,"Public","AQ*","485,041","27,981","(36.204824, 138.252924)"
"Abbott Laboratories","64","USA","2013","ABT US","US0028241000","84","B",,"Public","AQ*","470,781","537,821","(37.09024, -95.712891)"
"Kumba Iron Ore","10350","South Africa","2013","KIO SJ","ZAE000085346","98","B","Anglo American","Public","AQ*","448,274","516,315","(-30.559482, 22.937506)"
"Reckitt Benckiser","15591","United Kingdom","2013","RB/ LN","GB00B24CGK77","99","B",,"Public","AQ*","104,933.87","208,576.14","(55.378051, -3.435973)"
"Goldman Sachs Group Inc.","7599","USA","2013","GS US","US38141G1040","98","A",,"Public","AQ*","14,559","276,815","(37.09024, -95.712891)"
"Nestlé","12942","Switzerland","2013","NESN VX","CH0038863350","100","A",,"Public","AQ*","3,706,080","3,391,319","(46.818188, 8.227512)"
"SoftBank Corporation","17344","Japan","2013","9984 JP","JP3436100006",,,,,"NR",,,"(36.204824, 138.252924)"
"Mitsui Fudosan Co., Ltd.","12295","Japan","2013","8801 JP","JP3893200000","73","B",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Suncor Energy Inc.","17929","Canada","2013","SU CN","CA8672241079","94","B",,"Public","AQ*","18,608,320","2,232,478","(56.130366, -106.346771)"
"TD Bank Group","19241","Canada","2013","TD CN","CA8911605092","94","A",,"Public","AQ*","43,289","64,108","(56.130366, -106.346771)"
"Telenor Group","18435","Norway","2013","TEL NO","NO0010063308","95","A",,"Public","AQ*","342,073","787,079","(60.472024, 8.468946)"
"Eli Lilly & Co.","5377","USA","2013","LLY US","US5324571083","86","B",,"Public","AQ*","415,040","1,160,941","(37.09024, -95.712891)"
"Apple Inc.","865","USA","2013","AAPL US","US0378331005",,,,,"NR",,,"(37.09024, -95.712891)"
"Archer Daniels Midland","912","USA","2013","ADM US","US0394831020",,,,,"NR",,,"(37.09024, -95.712891)"
"Deutsche Post AG","4663","Germany","2013","DPW GR","DE0005552004","98","B",,"Public","AQ*","4,800,000","570,000","(51.165691, 10.451526)"
"Korea Electric Power Corporation","10268","South Korea","2013","015760 KS","KR7015760002","91","B",,"Public","AQ*","1,174,220","132,861","(35.907757, 127.766922)"
"Aviva","1268","United Kingdom","2013","AV/ LN","GB0002162385","79","B",,"Public","AQ*","23,849","75,733","(55.378051, -3.435973)"
"Eaton Corporation","5194","USA","2013","ETN US","IE00B8KQN827","100","A-",,"Public","AQ*","105,382","637,346","(37.09024, -95.712891)"
"LyondellBasell Industries Cl A","11085","Netherlands","2013","DLY GR","NL0009434992",,,,,"NR",,,"(52.132633, 5.291266)"
"Baxter International Inc.","1574","USA","2013","BAX US","US0718131099","82","B",,"Public","AQ*","345,000","445,000","(37.09024, -95.712891)"
"Exxon Mobil Corporation","6136","USA","2013","XOM US","US30231G1022","80","B",,"Public","AQ*","132,000,000","14,000,000","(37.09024, -95.712891)"
"Mitsubishi UFJ Financial Group, Inc.","12271","Japan","2013","8306 JP","JP3902900004","76","C",,"Public","AQ*","18,556","238,444","(36.204824, 138.252924)"
"Allstate Corporation","582","USA","2013","ALL US","US0200021014","96","B",,"Public","AQ*","40,796","150,401","(37.09024, -95.712891)"
"Thomson Reuters Corporation","19075","USA","2013","TRI US","CA8849031056","95","B",,"Public","AQ*",,,"(37.09024, -95.712891)"
"Deutsche Telekom AG","4667","Germany","2013","DTE GR","DE0005557508","90","B",,"Public","AQ*","356,128","3,291,232","(51.165691, 10.451526)"
"SABMiller","16101","United Kingdom","2013","SAB LN","GB0004835483","74","B",,"Public","AQ*","1,009,825","997,465","(55.378051, -3.435973)"
"Ericsson","5811","Sweden","2013","ERICB SS","SE0000108656","85","B",,"Public","AQ*","92,335","263,003","(60.128161, 18.643501)"
"Target Corporation","18320","USA","2013","TGT US","US87612E1064","91","B",,"Public","AQ*","527,047","2,489,866","(37.09024, -95.712891)"
"Fresenius Medical Care AG & Co. KGaA","22171","Germany","2013","FME GR","DE0005785802","72","D",,"Not public","AQ*",,,"(51.165691, 10.451526)"
"SSE","16558","United Kingdom","2013","SSE LN","GB0007908733","90","B",,"Public","AQ*","24,560,110","1,364,652","(55.378051, -3.435973)"
"American Electric Power Company, Inc.","689","USA","2013","AEP US","US0255371017","68","D",,"Public","AQ*","121,927,400",,"(37.09024, -95.712891)"
"Automatic Data Processing, Inc.","1203","USA","2013","ADP US","US0530151036","83","C",,"Public","AQ*","15,500","157,100","(37.09024, -95.712891)"
"MasterCard Incorporated","11421","USA","2013","MA US","US57636Q1040","43",,,"Public","AQ*","3,025.8","37,825","(37.09024, -95.712891)"
"MetLife, Inc.","11796","USA","2013","MET US","US59156R1086","92","A-",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Bank of Montreal","1417","Canada","2013","BMO CN","CA0636711016","94","B",,"Public","AQ*","20,932.55","86,853.06","(56.130366, -106.346771)"
"Cisco Systems, Inc.","3329","USA","2013","CSCO US","US17275R1023","100","A",,"Public","AQ*","65,832","628,164","(37.09024, -95.712891)"
"Malayan Banking","11289","Malaysia","2013","MAY MK","MYL1155OO000","67","C",,"Public","AQ*","651.6","88,426.6","(4.210484, 101.975766)"
"Goldcorp Inc.","7582","Canada","2013","G CN","CA3809564097","75","C",,"Public","AQ*","734,981","685,344","(56.130366, -106.346771)"
"Kering","14930","France","2013","KER FP","FR0000121485","90","B",,"Public","AQ*","15,078","98,950","(46.227638, 2.213749)"
"Anadarko Petroleum Corporation","745","USA","2013","APC US","US0325111070","75","C",,"Public","AQ*","5,056,818","535,843","(37.09024, -95.712891)"
"Surgutneftegas","18032","Russia","2013","SNGSP RM","RU0009029524","23",,,"Not public","AQ*",,,"(61.52401, 105.318756)"
"Berkshire Hathaway","1718","USA","2013","BRK/B US","US0846707026",,,,,"NR",,,"(37.09024, -95.712891)"
"Siam Commercial Bank PCL","22097","Thailand","2013","SCB TB","TH0015010000",,,,,"NR",,,"(15.870032, 100.992541)"
"Airbus Group","21770","Netherlands","2013","AIR FP","NL0000235190","97","B",,"Public","AQ*","581,115","432,092","(52.132633, 5.291266)"
"Time Warner Cable Inc.","19120","USA","2013","TWC US","US88732J2078",,,,,"NR",,,"(37.09024, -95.712891)"
"SANOFI","16299","France","2013","SAN FP","FR0000120578","97","A-",,"Public","AQ*","694,600","685,707","(46.227638, 2.213749)"
"Bank Central Asia","21417","Indonesia","2013","BBCA IJ","ID1000109507",,,,,"NR",,,"(-0.789275, 113.921327)"
"NextEra Energy, Inc.","6672","USA","2013","NEE US","US65339F1012",,,,,"NR",,,"(37.09024, -95.712891)"
"DBS Group Holdings","4315","Singapore","2013","DBS SP","SG1L01001701",,,,,"NR",,,"(1.352083, 103.819836)"
"Yum! Brands, Inc.","20917","USA","2013","YUM US","US9884981013","92","B",,"Public","AQ*","156,510","2,377,372","(37.09024, -95.712891)"
"Baker Hughes Incorporated","1356","USA","2013","BHI US","US0572241075","90","B",,"Public","AQ*","516,000","425,000","(37.09024, -95.712891)"
"Vale","20050","Brazil","2013","VALE3 BZ","BRVALEACNOR0","98","B",,"Public","AQ*","16,403,834.28","1,469,166.84","(-14.235004, -51.92528)"
"Petróleo Brasileiro SA - Petrobras","14654","Brazil","2013","PETR4 BZ","BRPETRACNPR6","82","C",,"Public","AQ*","65,983,676.38","1,394,740.09","(-14.235004, -51.92528)"
"Illinois Tool Works, Inc.","8858","USA","2013","ITW US","US4523081093","79","C",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Facebook","40556","USA","2013","FB US",,,,,,"NR",,,"(37.09024, -95.712891)"
"Priceline.Com Inc","22321","USA","2013","PCLN US","US7415034039",,,,,"NR",,,"(37.09024, -95.712891)"
"British American Tobacco","2269","United Kingdom","2013","BATS LN","GB0002875804","94","B",,"Public","AQ*","359,184","387,168","(55.378051, -3.435973)"
"E.ON SE","5108","Germany","2013","EOAN GR","DE000ENAG999","83","B",,"Public","AQ*","126,871,536","4,363,825","(51.165691, 10.451526)"
"Ford Motor Company","6595","USA","2013","F US","US3453708600","72","C",,"Public","AQ*","1,698,799","3,440,338","(37.09024, -95.712891)"
"State Bank of India","22352","India","2013","SBIN IN","INE062A01012","16",,,"Public","AQ*",,,"(20.593684, 78.96288)"
"ENEL SpA","5574","Italy","2013","ENEL IM","IT0003128367","87","B",,"Public","AQ*","127,801,261","1,140,337","(41.87194, 12.56738)"
"China Unicom","3248","Hong Kong","2013","762 HK","HK0000049939","2",,,"Public","AQ*",,,"(22.396428, 114.109497)"
"Hewlett-Packard","23195","USA","2013","HPQ US","US4282361033","99","A",,"Public","AQ*","246,000","1,643,000","(37.09024, -95.712891)"
"L'Oréal","10389","France","2013","OR FP","FR0000120321","94","A",,"Public","AQ*","66,920","126,500","(46.227638, 2.213749)"
"Sysco Corporation","18155","USA","2013","SYY US","US8718291078","66","C",,"Public","AQ*","788,200","336,857","(37.09024, -95.712891)"
"Boeing Company","2017","USA","2013","BA US","US0970231058","96","A-",,"Public","AQ*","576,000","998,000","(37.09024, -95.712891)"
"salesforce.com","16158","USA","2013","CRM US","US79466L3024","90","C",,"Public","AQ*","2,349.52","29,428.55","(37.09024, -95.712891)"
"Husky Energy Inc.","8675","Canada","2013","HSE CN","CA4480551031","86","C",,"Public","AQ*","9,171,000","2,381,000","(56.130366, -106.346771)"
"Repsol","15669","Spain","2013","REP SM","ES0173516115","98","B",,"Public","AQ*","14,062,806","811,243","(40.463667, -3.74922)"
"TransCanada Corporation","19304","Canada","2013","TRP CN","CA89353D1078","91","B",,"Public","AQ*","12,186,545","231,494","(56.130366, -106.346771)"
"BlackRock","1875","USA","2013","BLK US","US09247X1019","79","C",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Advanced Info Service","236","Thailand","2013","ADVANC TB","TH0268010Z03",,,,,"NR",,,"(15.870032, 100.992541)"
"Intel Corporation","9298","USA","2013","INTC US","US4581401001","85","B",,"Public","AQ*","794,759","2,331,048","(37.09024, -95.712891)"
"Noble Energy, Inc.","13395","USA","2013","NBL US","US6550441058","76","C",,"Public","AQ*","2,078,600","61,630","(37.09024, -95.712891)"
"Astra International","1053","Indonesia","2013","ASII IJ","ID1000122807","32",,,"Not public","AQ*",,,"(-0.789275, 113.921327)"
"Tencent Holdings","18544","Hong Kong","2013","700 HK","KYG875721485",,,,,"NR",,,"(22.396428, 114.109497)"
"CBS Corp.","2942","USA","2013","CBS US","US1248572026","24",,,"Public","AQ*",,,"(37.09024, -95.712891)"
"Morgan Stanley","12406","USA","2013","MS US","US6174464486","96","A",,"Public","AQ*","13,757.46","330,746.62","(37.09024, -95.712891)"
"Linde AG","22158","Germany","2013","LIN GR","DE0006483001","93","A-",,"Public","AQ*","6,100,000","9,800,000","(51.165691, 10.451526)"
"GRUPO FINANCIERO INBURSA-O","23089","Mexico","2013","GFINBURO MM","MXP370641013",,,,,"NR",,,"(23.634501, -102.552784)"
"Volkswagen AG","20309","Germany","2013","VOW3 GR","DE0007664039","99","A",,"Public","AQ*","4,133,581","4,572,344","(51.165691, 10.451526)"
"Schneider Electric","16423","France","2013","SU FP","FR0000121972","97","A",,"Public","AQ*","113,238","345,123","(46.227638, 2.213749)"
"WPP Group","20789","United Kingdom","2013","WPP LN","JE00B8KF9B49","95","B",,"Public","AQ*","9,859","164,206","(55.378051, -3.435973)"
"Power Financial Corporation","14961","Canada","2013","PWF CN","CA73927C1005","86","C",,"Not public","AQ*",,,"(56.130366, -106.346771)"
"Rolls-Royce","15941","United Kingdom","2013","RR/ LN","GB00B63H8491","85","B",,"Public","AQ*","213,089.45","337,064.01","(55.378051, -3.435973)"
"Novatek","13542","Russia","2013","NVTK RM","RU000A0DKVS5","40",,,"Public","AQ*","2,336,375","73,460","(61.52401, 105.318756)"
"CVS Caremark Corporation","4151","USA","2013","CVS US","US1266501006","92","B",,"Public","AQ*","201,000","1,495,000","(37.09024, -95.712891)"
"Hang Seng Bank","8057","Hong Kong","2013","11 HK","HK0011000095","42",,"HSBC Holdings plc","Public","AQ*",,"24,616.59","(22.396428, 114.109497)"
"Canadian National Railway Company","2656","Canada","2013","CNR CN","CA1363751027","91","B",,"Public","AQ*","5,070,123","173,129","(56.130366, -106.346771)"
"Walt Disney Company","20384","USA","2013","DIS US","US2546871060","78","C",,"Public","AQ*","867,353","899,027","(37.09024, -95.712891)"
"BB&T Corporation","1610","USA","2013","BBT US","US0549371070",,,,,"NR",,,"(37.09024, -95.712891)"
"Industrial And Commercial Bank Of China Limited","9039","China","2013","601398 CH","CNE000001P37","5",,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Japan Tobacco Inc.","9712","Japan","2013","2914 JP","JP3726800000","96","B",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Dominion Resources, Inc.","4832","USA","2013","D US","US25746U1097",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"General Growth Properties","7172","USA","2013","GGP US","US3700231034",,,,,"NR",,,"(37.09024, -95.712891)"
"China Life Insurance Company Limited","22650","China","2013","601628 CH","CNE000001Q93",,,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Orange","6764","France","2013","ORA FP","FR0000133308","85","B",,"Public","AQ*","445,424","1,024,182","(46.227638, 2.213749)"
"United Technologies Corporation","19859","USA","2013","UTX US","US9130171096","87","B",,"Public","AQ*","801,694","880,896","(37.09024, -95.712891)"
"Continental AG","3818","Germany","2013","CON GR","DE0005439004","82","C",,"Public","AQ*","591,681","1,860,558","(51.165691, 10.451526)"
"Southern Copper Corporation","17435","Peru","2013","SCCO PE","US84265V1052",,,,,"NR",,,"(-9.189967, -75.015152)"
"LVMH","11063","France","2013","MC FP","FR0000121014","67","C",,"Public","AQ*","48,365","299,150","(46.227638, 2.213749)"
"UBS","22416","Switzerland","2013","UBSN VX","CH0024899483","92","A-",,"Public","AQ*","21,838","172,421","(46.818188, 8.227512)"
"Hon Hai Precision Industry","21422","Taiwan","2013","2317 TT","TW0002317005",,,"Foxconn International Holdings",,"SA",,,"(23.69781, 120.960515)"
"Simon Property Group","17069","USA","2013","SPG US","US8288061091","98","B",,"Public","AQ*","21,854","496,006","(37.09024, -95.712891)"
"Munich Re","12611","Germany","2013","MUV2 GR","DE0008430026","91","A",,"Public","AQ*","64,755","87,106","(51.165691, 10.451526)"
"Credit Suisse","4035","Switzerland","2013","CSGN VX","CH0012138530","88","B",,"Public","AQ*","23,511","151,561","(46.818188, 8.227512)"
"Mizuho Financial Group, Inc.","12291","Japan","2013","8411 JP","JP3885780001","89","B",,"Public","AQ*","16,177.45","202,850.31","(36.204824, 138.252924)"
"Hong Kong & China Gas","8558","Hong Kong","2013","3 HK","HK0003000038",,,,,"NR",,,"(22.396428, 114.109497)"
"Accenture","21318","Ireland","2013","ACN US","IE00B4BNMY34","92","B",,"Public","AQ*","9,383","224,615","(53.41291, -8.24389)"
"Lafarge S.A.","10418","France","2013","LG FP","FR0000120537","96","B",,"Public","AQ*","97,354,270","8,907,096","(46.227638, 2.213749)"
"The Chubb Corporation","3293","USA","2013","CB US","US1712321017","52","D",,"Public","AQ*","1,129","10,133","(37.09024, -95.712891)"
"TeliaSonera","18430","Sweden","2013","TLSN SS","SE0000667925","83","B",,"Public","AQ*","35,331","268,482","(60.128161, 18.643501)"
"Industrias Peñoles","9065","Mexico","2013","PE&OLES* MM","MXP554091415","46",,,"Public","AQ*","674,687","1,747,388","(23.634501, -102.552784)"
"BOC Hong Kong","1957","Hong Kong","2013","2388 HK","HK2388011192",,,,"Not public","AQ*",,,"(22.396428, 114.109497)"
"EMC Corporation","5395","USA","2013","EMC US","US2686481027","97","A",,"Public","AQ*","45,886","368,528","(37.09024, -95.712891)"
"ASML Holding","1048","Netherlands","2013","ASML NA","NL0010273215",,,,"Public","DP",,,"(52.132633, 5.291266)"
"Visa","22867","USA","2013","V US","US92826C8394","61","D",,"Public","AQ*","8,151","68,313","(37.09024, -95.712891)"
"Wharf Holdings","20608","Hong Kong","2013","4 HK","HK0004000045",,,,,"NR",,,"(22.396428, 114.109497)"
"Teck Resources Limited","21481","Canada","2013","TCK/B CN","CA8787422044","90","B",,"Public","AQ*","2,889,517","293,514","(56.130366, -106.346771)"
"eBay Inc.","5197","USA","2013","EBAY US","US2786421030","75","D",,"Public","AQ*","14,374","225,952","(37.09024, -95.712891)"
"S.A.C.I. Falabella","16080","Chile","2013","FALAB CI","CLP3880F1085",,,,"Public","IN",,,"(-35.675147, -71.542969)"
"Johnson Controls","9831","USA","2013","JCI US","US4783661071","94","A-",,"Public","AQ*","866,181","1,465,658","(37.09024, -95.712891)"
"Grupo Mexico S.A.B. de CV","7834","Mexico","2013","GMEXICOB MM","MXP370841019",,,,,"NR",,,"(23.634501, -102.552784)"
"Wesfarmers","20592","Australia","2013","WES AU","AU000000WES1","77","B",,"Public","AQ*","2,508,924","2,790,505","(-25.274398, 133.775136)"
"China Telecom","3244","China","2013","728 HK","CNE1000002V2",,,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"POSCO","14929","South Korea","2013","005490 KS","KR7005490008","97","B",,"Public","AQ*","73,526,000","3,471,000","(35.907757, 127.766922)"
"Cognizant Technology Solutions Corp.","3588","USA","2013","CTSH US","US1924461023","64","C",,"Public","AQ*","46,934","137,460","(37.09024, -95.712891)"
"PTT Exploration & Production Public Company Limited","15294","Thailand","2013","PTTEP TB","TH0355A10Z04","85","C","PTT","Public","AQ*","4,431,143","1,649","(15.870032, 100.992541)"
"Unilever Nv Cva","22285","Netherlands","2013","UNA NA","NL0000009355",,,"Unilever plc",,"SA",,,"(52.132633, 5.291266)"
"Gazprom OAO","7047","Russia","2013","GAZP RM","RU0007661625","62","C",,"Public","AQ*","133,428,139","5,146,743","(61.52401, 105.318756)"
"Deere & Company","4365","USA","2013","DE US","US2441991054","79","C",,"Public","AQ*","440,147","1,053,446","(37.09024, -95.712891)"
"BAE Systems","1344","United Kingdom","2013","BA/ LN","GB0002634946","69","C",,"Public","AQ*","277,920","590,760","(55.378051, -3.435973)"
"BASF SE","1516","Germany","2013","BAS GR","DE000BASF111","100","A-",,"Public","AQ*","20,208,000","4,479,000","(51.165691, 10.451526)"
"Mitsubishi Estate Co., Ltd.","12145","Japan","2013","8802 JP","JP3899600005","76","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Altria Group, Inc.","628","USA","2013","MO US","US02209S1033","75","C",,"Public","AQ*","283,926","236,169","(37.09024, -95.712891)"
"Manulife Financial Corp.","11332","Canada","2013","MFC CN","CA56501R1064","84","C",,"Public","AQ*","213,835","195,565","(56.130366, -106.346771)"
"Devon Energy Corporation","4678","USA","2013","DVN US","US25179M1036","86","B",,"Public","AQ*","7,596,657","1,087,905","(37.09024, -95.712891)"
"Svenska Handelsbanken","18061","Sweden","2013","SHBA SS","SE0000193120","81","B",,"Public","AQ*","41.47","4,889.18","(60.128161, 18.643501)"
"Carnival Corporation","2870","United Kingdom","2013","CCL US","PA1436583006","83","C",,"Public","AQ*","10,819,814","57,585","(55.378051, -3.435973)"
"Occidental Petroleum Corporation","13649","USA","2013","OXY US","US6745991058","61","E",,"Public","AQ*","14,270,000","5,600,000","(37.09024, -95.712891)"
"Stryker Corporation","17815","USA","2013","SYK US","US8636671013","53","E",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Komatsu Ltd.","10239","Japan","2013","6301 JP","JP3304200003","95","A",,"Public","AQ*","123,754","354,601","(36.204824, 138.252924)"
"National Oilwell Varco, Inc.","12843","USA","2013","NOV US","US6370711011",,,,,"NR",,,"(37.09024, -95.712891)"
"Banco Bradesco S/A","1395","Brazil","2013","BBDC4 BZ","BRBBDCACNPR8","76","C",,"Public","AQ*","4,780","30,219","(-14.235004, -51.92528)"
"BBVA","1613","Spain","2013","BBVA SM","ES0113211835","76","D",,"Public","AQ*","9,267","295,771","(40.463667, -3.74922)"
"General Mills Inc.","7156","USA","2013","GIS US","US3703341046","78","B",,"Public","AQ*","259,400","737,000","(37.09024, -95.712891)"
"Essilor International","5879","France","2013","EI FP","FR0000121667","28",,,"Public","AQ*",,"55,100","(46.227638, 2.213749)"
"Fanuc Corporation","6204","Japan","2013","6954 JP","JP3802400006",,,,,"NR",,,"(36.204824, 138.252924)"
"Oversea-Chinese Banking","21402","Singapore","2013","OCBC SP","SG1S04926220","3",,,"Public","AQ*",,,"(1.352083, 103.819836)"
"The Southern Company","18951","USA","2013","SO US","US8425871071",,,,"Public","IN",,,"(37.09024, -95.712891)"
"Allianz SE","593","Germany","2013","ALV GR","DE0008404005","97","A-","Allianz Group","Public","AQ*","83,443","176,675","(51.165691, 10.451526)"
"Royal Bank of Scotland Group","15949","United Kingdom","2013","RBS LN","GB00B7T77214","88","B",,"Public","AQ*","66,586","497,763","(55.378051, -3.435973)"
"UnitedHealth Group Inc","19858","USA","2013","UNH US","US91324P1021","98","B",,"Public","AQ*","8,693.78","104,200.46","(37.09024, -95.712891)"
"Compagnie Financière Richemont SA","3672","Switzerland","2013","CFR VX","CH0045039655","79","B",,"Public","AQ*","18,600","45,200","(46.818188, 8.227512)"
"Phillips 66","44635","USA","2013","PSX US",,,,,,"NR",,,"(37.09024, -95.712891)"
"Verizon Communications Inc.","20175","USA","2013","VZ US","US92343V1044","84","B",,"Public","AQ*","512,899.04","5,334,874.05","(37.09024, -95.712891)"
"Raytheon Company","15541","USA","2013","RTN US","US7551115071","98","A",,"Public","AQ*","101,715","435,872","(37.09024, -95.712891)"
"Apache Corporation","804","USA","2013","APA US","US0374111054","70","C",,"Public","AQ*","10,766,000","1,314,000","(37.09024, -95.712891)"
"Pfizer Inc.","14683","USA","2013","PFE US","US7170811035","91","B",,"Public","AQ*","1,217,736","1,155,762","(37.09024, -95.712891)"
"DNB ASA","21537","Norway","2013","DNB NO","NO0010031479","84","B",,"Public","AQ*","1,571","13,587","(60.472024, 8.468946)"
"Air Products & Chemicals, Inc.","435","USA","2013","APD US","US0091581068","99","B",,"Public","AQ*","14,767,209","10,563,030","(37.09024, -95.712891)"
"BG Group","1785","United Kingdom","2013","BG/ LN","GB0008762899","89","A",,"Public","AQ*","7,739,569","20,295","(55.378051, -3.435973)"
"Equity Residential","5798","USA","2013","EQR US","US29476L1070",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"Schlumberger Limited","16418","USA","2013","SLB US","AN8068571086","83","C",,"Public","AQ*","2,200,000","550,000","(37.09024, -95.712891)"
"NIKE Inc.","13279","USA","2013","NKE US","US6541061031","70","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Time Warner Inc.","19119","USA","2013","TWX US","US8873173038",,,,"Public","AQ*","23,777","194,010","(37.09024, -95.712891)"
"Danone","4311","France","2013","BN FP","FR0000120644","93","B",,"Public","AQ*","894,206","847,529","(46.227638, 2.213749)"
"Yahoo! Inc.","20905","USA","2013","YHOO US","US9843321061","91","B",,"Public","AQ*","4,002.04","333,290.8","(37.09024, -95.712891)"
"Australia and New Zealand Banking Group","1187","Australia","2013","ANZ AU","AU000000ANZ3","92","A-",,"Public","AQ*","16,428","205,462","(-25.274398, 133.775136)"
"ITC Limited","9535","India","2013","ITC IN","INE154A01025","85","B",,"Public","AQ*","1,150,203","172,121","(20.593684, 78.96288)"
"Uralkali","20047","Russia","2013","URKA RU","RU0007661302","41",,,"Not public","AQ*",,,"(61.52401, 105.318756)"
"Hutchison Whampoa","8682","Hong Kong","2013","13 HK","HK0013000119",,,,,"NR",,,"(22.396428, 114.109497)"
"Toyota Motor Corporation","19290","Japan","2013","7203 JP","JP3633400001","96","B",,"Public","AQ*","2,727,000","4,499,000","(36.204824, 138.252924)"
"Celgene Corporation","2982","USA","2013","CELG US","US1510201049","80","C",,"Public","AQ*","14,458","18,420","(37.09024, -95.712891)"
"Reynolds American Inc.","15774","USA","2013","RAI US","US7617131062","70","B",,"Public","AQ*","107,093","167,402","(37.09024, -95.712891)"
"British Sky Broadcasting","2302","United Kingdom","2013","BSY LN","GB0001411924","95","A",,"Public","AQ*","20,972","80,458","(55.378051, -3.435973)"
"Wal-Mart Stores, Inc.","20402","USA","2013","WMT US","US9311421039","94","A-",,"Public","AQ*","5,605,099","15,581,135","(37.09024, -95.712891)"
"Glencore International AG","35349","Switzerland","2013","GLEN LN","JE00B4T3BW64","82","C",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"Xstrata","20903","Switzerland","2013","XTA LN","GB0031411001","82","C",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"Hess Corporation","8274","USA","2013","HES US","US42809H1077","97","B",,"Public","AQ*","7,409,486","584,695","(37.09024, -95.712891)"
"Charles Schwab Corporation","3133","USA","2013","SCHW US","US8085131055","55","E",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Rosneft","15969","Russia","2013","ROSN RM","RU000A0J2Q06",,,,,"NR",,,"(61.52401, 105.318756)"
"Nomura Holdings, Inc.","13351","Japan","2013","8604 JP","JP3762600009","86","B",,"Public","AQ*","3,629","95,377","(36.204824, 138.252924)"
"AstraZeneca","1104","United Kingdom","2013","AZN LN","GB0009895292","85","B",,"Public","AQ*","340,800","286,200","(55.378051, -3.435973)"
"MTN Group","12546","South Africa","2013","MTN SJ","ZAE000042164","76","D",,"Public","AQ*","652,790","384,725","(-30.559482, 22.937506)"
"Amgen, Inc.","716","USA","2013","AMGN US","US0311621009","76","B",,"Public","AQ*","119,968","286,679","(37.09024, -95.712891)"
"Kellogg Company","10056","USA","2013","K US","US4878361082","84","B",,"Public","AQ*","536,069","671,729","(37.09024, -95.712891)"
"E.I. du Pont de Nemours and Company","5115","USA","2013","DD US","US2635341090","96","A",,"Public","AQ*","10,817,680","4,416,220","(37.09024, -95.712891)"
"Procter & Gamble Company","15132","USA","2013","PG US","US7427181091","47",,,"Public","AQ*","2,799,000","3,028,000","(37.09024, -95.712891)"
"Siam Cement","16913","Thailand","2013","SCC TB","TH0003010Z04",,,,,"NR",,,"(15.870032, 100.992541)"
"Firstrand Limited","6436","South Africa","2013","FSR SJ","ZAE000066304","96","A",,"Public","AQ*","11,571.98","257,171.66","(-30.559482, 22.937506)"
"Bank Mandiri","22129","Indonesia","2013","BMRI IJ","ID1000095003",,,,,"NR",,,"(-0.789275, 113.921327)"
