ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
COST,COSTCO,COSTCO,,254453.0,341000.0,-26.0,79.0,-15.0,0.7,-6.8,0.5,-2.2,-0.6,13.3,-7.8,6.7,-3.5,0.6,,,https://uprightplatform.com/company/f65edd8d-9eac-4122-87ef-ecc19700ef8d/Costco/
CRH,CRH,CRH,,36347.0,79800.0,-49.0,87.0,-20.6,1.2,-10.9,0.8,-2.8,-0.7,14.6,-2.5,1.0,-1.6,0.2,,,https://uprightplatform.com/company/61fec298-6fdf-43eb-9fdd-8c3dfe3c1117/CRH/
CCI,CROWN CASTLE,CROWN CASTLE,,4842.0,5000.0,14.0,55.0,-16.5,1.4,-8.0,1.0,-1.8,-0.3,18.1,-1.7,1.6,-2.6,3.6,,,https://uprightplatform.com/company/b3283ee3-5405-405d-b747-7ed29a192f94/Crown%20Castle/
DHR,DANAHER,DANAHER,,23875.0,63000.0,61.0,12.0,-5.6,0.2,-2.4,0.1,-0.8,-0.6,12.2,-0.9,11.8,-4.1,4.7,,,https://uprightplatform.com/company/ee726ffb-cf46-4c92-baf9-4a0b00f4a90e/Danaher/
DDOG,DATADOG,DATADOG,,3427.16,8100.0,46.0,25.0,-4.6,0.5,-2.1,0.3,-0.5,-0.3,14.8,-0.8,1.4,-7.1,7.3,,,https://uprightplatform.com/company/64174d79-a440-433a-9a17-e5a62f83677c/Datadog/
DELL,DELL TECHNOLOGIES,DELL TECHNOLOGIES,,95567.0,108000.0,35.0,37.0,-5.3,0.5,-2.4,0.4,-0.6,-0.4,9.3,-1.2,0.9,-5.0,7.6,,,https://uprightplatform.com/company/21cd3097-45c4-47f9-b36b-3618e8fb8b1a/Dell%20Technologies/
DAL,DELTA AIR LINES,DELTA AIR LINES,,61643.0,103000.0,-127.0,98.0,-29.0,1.0,-15.1,0.7,-5.2,-0.9,12.2,-5.8,3.9,-3.2,0.1,,,https://uprightplatform.com/company/16794cac-8c0a-4cc0-8009-689d04ff3c75/Delta%20Air%20Lines/
DXCM,DEXCOM,DEXCOM,,4662.0,11000.0,75.0,3.0,-2.9,0.2,-1.9,0.1,-0.1,-0.1,8.5,-0.3,14.1,-3.7,4.8,,,https://uprightplatform.com/company/4e490d56-25ab-4303-9645-d56497c980d3/Dexcom/
FANG,DIAMONDBACK ENERGY,DIAMONDBACK ENERGY,,8714.0,1983.0,-95.0,95.0,-30.4,0.5,-17.2,0.4,-5.3,-3.2,18.3,-4.8,0.6,-3.5,2.1,,,https://uprightplatform.com/company/e3b2422c-e024-4b2a-9adc-36a1fb604db7/Diamondback%20Energy/
D,DOMINION ENERGY,DOMINION ENERGY,,15227.0,14700.0,35.0,37.0,-21.0,9.2,-11.3,7.9,-3.1,-0.8,35.1,-2.5,0.5,-4.8,0.3,,,https://uprightplatform.com/company/b7e98fb3-dfbe-4ed8-b456-0ca6be2b24ad/Dominion%20Energy/
DASH,DOORDASH,DOORDASH,,12635.0,31400.0,-14.0,74.0,-23.6,4.0,-10.6,3.7,-5.8,-1.2,20.4,-10.5,8.6,-2.5,0.0,,,https://uprightplatform.com/company/ae7c2bd9-5c35-4071-ac83-606fb5de6efd/DoorDash/
DHI,D. R. HORTON,D. R. HORTON,,36801.0,14766.0,22.0,49.0,-15.2,0.5,-9.2,0.3,-1.7,-0.6,23.1,-1.4,2.0,-2.8,0.1,,,https://uprightplatform.com/company/bef4d4ff-16df-4e5b-bbd3-ec0d7d3a8990/D.%20R.%20Horton/
DTE,DTE ENERGY,DTE ENERGY,,12745.0,9950.0,-49.0,87.0,-30.9,5.0,-19.4,4.0,-4.2,-1.5,19.5,-3.4,0.7,-3.4,1.1,,,https://uprightplatform.com/company/fb05a3f7-9b78-49f5-826a-ac45b18ca3e1/DTE%20Energy/
DUK,DUKE ENERGY,DUKE ENERGY,,29938.0,26413.0,-2.0,68.0,-26.0,8.8,-14.7,6.9,-3.8,-1.6,22.9,-2.8,0.5,-3.4,0.7,,,https://uprightplatform.com/company/807d77a5-6a1d-42f8-915f-dda001724e5b/Duke%20Energy/
DD,DUPONT,DUPONT,,12192.0,24000.0,16.0,53.0,-12.4,2.4,-6.6,1.1,-1.9,-0.6,13.5,-2.1,3.9,-2.4,1.2,,,https://uprightplatform.com/company/e0c8a803-366e-4a1a-afc7-033624590dbd/DuPont/
ECHO,ECHOSTAR,ECHOSTAR,,15175.91,13700.0,40.0,32.0,-6.2,0.5,-3.4,0.4,-0.7,-0.3,13.7,-1.9,1.8,-5.5,6.9,,,https://uprightplatform.com/company/22d7ab32-b601-4c0c-ba3b-9c49d4f5e8b7/Echostar/
EME,EMCOR,EMCOR,,15638.72,40400.0,25.0,46.0,-10.2,2.0,-5.1,1.3,-1.6,-0.3,12.7,-1.0,1.9,-2.0,1.4,,,https://uprightplatform.com/company/0e370824-ed74-47ae-beb6-4056b76ae2ed/Emcor/
EFX,EQUIFAX,EQUIFAX,,5265.0,15000.0,53.0,18.0,-2.9,0.2,-1.4,0.1,-0.3,-0.2,11.3,-0.7,0.6,-5.1,6.8,,,https://uprightplatform.com/company/eedcc02b-4d9a-4127-85f4-413288c3f300/Equifax/
ERIE,ERIE INDEMNITY,ERIE INDEMNITY,,4067.26,6667.0,-2.0,68.0,-2.7,0.1,-1.4,0.1,-0.4,-0.9,6.6,-0.5,1.8,-4.6,0.0,,,https://uprightplatform.com/company/73b776f7-0e3e-4a08-af1d-eba9595d4b3d/Erie%20Indemnity/
EVRG,EVERGY,EVERGY,,5508.2,4658.0,-39.0,84.0,-32.3,7.1,-21.0,5.5,-4.0,-1.2,20.7,-3.8,0.6,-3.3,0.9,,,https://uprightplatform.com/company/82cad1ea-6e06-4ab7-92ac-330cae507d2f/Evergy/
EXE,EXPAND ENERGY CORPORATION,EXPAND ENERGY CORPORATION,,12189.0,1700.0,-109.0,96.0,-27.4,0.8,-15.6,0.6,-4.4,-3.2,14.7,-2.9,0.4,-2.5,1.4,,,https://uprightplatform.com/company/0e00ffd4-b557-4cb9-b73e-66ec8a3131d6/Expand%20Energy%20Corporation/
EXPE,EXPEDIA,EXPEDIA,,12893.0,16500.0,9.0,60.0,-7.8,0.5,-3.5,0.4,-1.1,-0.2,11.0,-1.2,2.1,-4.6,1.4,,,https://uprightplatform.com/company/8e98e3f5-9246-4761-90e5-0ae29ce55512/Expedia/
XOM,EXXON MOBIL,EXXON MOBIL,,349585.0,61000.0,-100.0,95.0,-31.6,1.1,-17.1,0.7,-5.8,-1.8,18.8,-6.2,0.9,-2.3,0.2,,,https://uprightplatform.com/company/962a29cc-a3bd-48ef-8b0e-f2a3fb8e5e1d/Exxon%20Mobil/
FAST,FASTENAL,FASTENAL,,7346.7,23201.0,-17.0,76.0,-10.0,0.3,-5.4,0.2,-0.9,-0.1,9.7,-0.5,1.0,-2.3,0.0,,,https://uprightplatform.com/company/c21b0ef0-38a1-4e44-abad-4f88aa1d5576/Fastenal/
FDX,FEDEX,FEDEX,,87693.0,237000.0,-35.0,83.0,-23.0,2.2,-11.5,1.8,-6.0,-0.8,16.7,-3.5,2.2,-2.1,0.7,,,https://uprightplatform.com/company/fad73050-ad19-4431-8f58-1bd5093505f2/FedEx/
FERG,FERGUSON,FERGUSON,,31159.0,,-31.0,81.0,-11.2,0.6,-5.5,0.4,-1.5,-0.3,9.7,-1.1,1.1,-2.4,0.0,,,https://uprightplatform.com/company/1563d688-9937-45cb-84b8-9f6f36bdf703/Ferguson/
FSLR,FIRST SOLAR,FIRST SOLAR,,4343.44,8100.0,68.0,5.0,-8.6,12.2,-4.2,8.1,-1.2,-0.2,24.3,-0.9,0.8,-2.3,0.7,,,https://uprightplatform.com/company/211f3e20-1b56-4452-a509-f6bc58a3e30b/First%20Solar/
FE,FIRSTENERGY,FIRSTENERGY,,12870.0,12294.0,21.0,49.0,-23.5,8.1,-13.0,7.0,-3.5,-1.2,30.9,-2.7,0.5,-4.3,0.6,,,https://uprightplatform.com/company/8451b3b2-8c23-4e02-b7fe-051344bf8887/FirstEnergy/
FISV,FISERV,FISERV,,20456.0,38000.0,17.0,53.0,-4.0,0.2,-1.9,0.1,-0.3,-0.3,10.3,-0.4,0.5,-4.8,0.5,,,https://uprightplatform.com/company/79a3270f-c704-4ff3-9596-34944452bf2b/Fiserv/
FLEX,FLEX,FLEX,,26333.0,148000.0,27.0,44.0,-7.7,1.0,-3.3,0.6,-0.9,-0.6,10.2,-2.6,3.5,-3.6,5.1,,,https://uprightplatform.com/company/abaa4166-22b8-4a30-8187-42730eea6458/Flex/
GRMN,GARMIN,GARMIN,,5500.0,19900.0,32.0,40.0,-7.9,0.3,-2.7,0.2,-0.7,-0.5,10.6,-2.0,7.8,-5.3,4.2,,,https://uprightplatform.com/company/e0be0a3b-d0a2-4983-98c7-282b0d1c5480/Garmin/
IT,GARTNER,GARTNER,,6497.23,20994.0,72.0,4.0,-2.8,0.1,-1.3,0.1,-0.2,-0.8,9.1,-0.7,1.2,-5.6,25.0,,,https://uprightplatform.com/company/5204d693-0d1e-4cd2-aaea-8ebda81e37f4/Gartner/
GEV,GE VERNOVA,GE VERNOVA,,34935.0,75000.0,30.0,41.0,-18.2,10.8,-8.7,8.5,-3.0,-1.0,21.3,-1.2,0.5,-3.1,1.0,,,https://uprightplatform.com/company/99def040-c878-44d2-88ed-e19f68b1c384/GE%20Vernova/
GD,GENERAL DYNAMICS,GENERAL DYNAMICS,,47716.0,111600.0,-76.0,92.0,-13.2,0.9,-6.2,0.6,-1.9,-10.0,17.1,-11.3,2.0,-3.7,1.8,,,https://uprightplatform.com/company/b39cb72e-2a39-43d0-a57b-f0e5345c0954/General%20Dynamics/
GPC,GENUINE PARTS,GENUINE PARTS,,23487.0,63000.0,-17.0,76.0,-9.2,0.7,-4.7,0.5,-1.0,-0.1,8.9,-0.6,0.6,-2.2,0.0,,,https://uprightplatform.com/company/07d1eb03-98f7-4a03-b1c4-3e8171545184/Genuine%20Parts/
GDDY,GODADDY,GODADDY,,4254.1,6159.0,25.0,46.0,-3.5,0.2,-1.7,0.2,-0.3,-0.3,10.3,-0.8,0.7,-5.5,2.3,,,https://uprightplatform.com/company/d7c471f5-bf33-4d0e-abf9-2c2b4e0d77d5/GoDaddy/
HCA,HCA HEALTHCARE,HCA HEALTHCARE,,59800.0,207000.0,61.0,11.0,-5.6,0.2,-2.1,,-1.0,-1.3,16.3,-4.2,22.6,-4.0,0.4,,,https://uprightplatform.com/company/cf7477de-3a1e-47fd-8f51-99ce4b72dc8a/HCA%20Healthcare/
HWM,HOWMET AEROSPACE,HOWMET AEROSPACE,,8252.0,23200.0,-109.0,96.0,-19.3,1.3,-10.8,0.9,-3.0,-2.2,10.9,-4.6,1.0,-1.7,0.1,,,https://uprightplatform.com/company/592f0c53-339d-4764-b198-baadb23f936b/Howmet%20Aerospace/
HUBB,HUBBELL,HUBBELL,,5372.9,18300.0,26.0,45.0,-10.4,1.7,-5.0,1.3,-1.4,-0.3,13.0,-1.0,1.4,-2.6,3.3,,,https://uprightplatform.com/company/c88a2cf4-c13b-4ae6-9400-8cd5b85be120/Hubbell/
HBAN,HUNTINGTON BANCSHARES,HUNTINGTON BANCSHARES,,7402.0,20166.0,12.0,57.0,-6.3,0.6,-3.2,0.4,-1.0,-0.5,12.3,-1.2,2.3,-6.0,0.7,,,https://uprightplatform.com/company/b6e06ec8-8aab-405d-87f5-4250885411be/Huntington%20Bancshares/
HII,HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON INGALLS INDUSTRIES,,11569.0,44000.0,-86.0,94.0,-13.9,1.2,-6.6,0.9,-2.0,-11.2,18.2,-13.1,1.7,-2.4,0.6,,,https://uprightplatform.com/company/31819b35-7ef3-41f6-8c21-94058476f3ad/Huntington%20Ingalls%20Industries/
IBM,IBM,IBM,,62753.0,293400.0,44.0,27.0,-3.7,0.4,-1.8,0.3,-0.4,-0.2,10.6,-0.6,0.9,-5.9,6.8,,,https://uprightplatform.com/company/4ac6bf8b-fe4a-4251-a42b-4ab510949ad9/IBM/
INCY,INCYTE,INCYTE,,3695.6,2524.0,14.0,55.0,-10.2,0.2,-4.4,0.1,-2.0,-1.2,6.7,-7.8,20.0,-3.9,0.0,,,https://uprightplatform.com/company/e876ad82-a97e-4183-9241-96994b781522/Incyte/
PODD,INSULET,INSULET,,2521.9,5400.0,75.0,3.0,-5.5,0.2,-2.3,,-1.1,-0.9,8.4,-3.6,46.3,-3.8,0.0,,,https://uprightplatform.com/company/bbbc16fd-4b96-458d-9aa2-f51d4dc31663/Insulet/
IBKR,INTERACTIVE BROKERS,INTERACTIVE BROKERS,,10424.0,3182.0,-20.0,77.0,-4.1,0.2,-3.2,0.1,-0.2,-1.2,6.2,-0.3,0.9,-6.3,2.6,,,https://uprightplatform.com/company/0ba16d15-b351-4b91-939f-08aed678370a/Interactive%20Brokers/
INVH,INVITATION HOMES,INVITATION HOMES,,2729.3,1725.0,69.0,5.0,-11.1,1.3,-5.9,0.9,-1.1,-0.3,46.2,-0.8,1.4,-3.1,0.0,,,https://uprightplatform.com/company/fd1073d9-65ae-46c0-a132-552e9deea474/Invitation%20Homes/
IQV,IQVIA,IQVIA,,15497.0,90000.0,62.0,10.0,-3.4,0.1,-1.2,0.1,-0.5,-0.9,14.6,-1.7,11.4,-5.7,5.2,,,https://uprightplatform.com/company/512d43f3-85d6-4b59-873f-ff2e9276bfe7/Iqvia/
JBL,JABIL,JABIL,,28883.0,236000.0,24.0,47.0,-8.2,0.9,-3.9,0.5,-1.1,-0.2,10.4,-0.9,0.7,-2.8,3.8,,,https://uprightplatform.com/company/d9a57b6a-de46-4e58-bb9e-4d241e23a567/Jabil/
JKHY,JACK HENRY & ASSOCIATES,JACK HENRY & ASSOCIATES,,2464.53,7120.0,32.0,40.0,-3.2,0.1,-1.7,0.1,-0.3,-0.3,12.8,-0.3,0.7,-6.0,0.9,,,https://uprightplatform.com/company/7e3a668f-0373-4d9b-8b9b-d43417c6bd7d/Jack%20Henry%20%26%20Associates/
JNJ,JOHNSON & JOHNSON,JOHNSON & JOHNSON,,88821.0,138100.0,45.0,26.0,-7.6,0.2,-3.2,0.1,-1.4,-1.0,8.1,-5.5,24.2,-3.7,0.0,,,https://uprightplatform.com/company/0cc307c7-c0e9-4a62-bf82-80b181ca9c7d/Johnson%20%26%20Johnson/
KVUE,KENVUE,KENVUE,,15459.0,22000.0,19.0,51.0,-10.5,0.7,-4.7,0.3,-1.8,-0.9,7.6,-5.3,16.2,-3.3,0.0,,,https://uprightplatform.com/company/4996031f-b033-4f49-93a7-51814c7aa8f0/Kenvue/
KEY,KEYCORP,KEYCORP,,5133.0,16989.0,20.0,50.0,-2.2,0.1,-1.2,0.1,-0.3,-0.4,7.8,-0.4,1.0,-5.6,1.8,,,https://uprightplatform.com/company/a57b8824-1f67-4454-8c6d-bfa23c95413b/KeyCorp/
KMB,KIMBERLY-CLARK,KIMBERLY-CLARK,,20058.0,38000.0,-29.0,80.0,-16.6,2.6,-7.9,1.5,-1.9,-1.4,7.7,-2.1,6.7,-1.8,0.0,,,https://uprightplatform.com/company/5759edd8-6ac5-4f3c-b634-829b37d527c2/Kimberly-Clark/
LHX,L3HARRIS TECHNOLOGIES,L3HARRIS TECHNOLOGIES,,19400.0,50000.0,-35.0,83.0,-10.0,0.4,-5.0,0.2,-1.4,-7.1,16.7,-8.4,1.8,-3.6,2.8,,,https://uprightplatform.com/company/ffbe04ed-1d4e-4a05-b80a-b159c839151e/L3Harris%20Technologies/
LDOS,LEIDOS,LEIDOS,,15438.0,47000.0,2.0,65.0,-7.9,0.4,-3.9,0.3,-1.2,-3.9,14.6,-4.5,3.3,-4.5,3.1,,,https://uprightplatform.com/company/bdcec06d-aa17-4db7-ae61-3f73ad3f6126/Leidos/
LEN,LENNAR,LENNAR,,35442.0,13265.0,16.0,53.0,-13.1,0.5,-7.9,0.3,-1.3,-0.7,19.2,-1.1,1.7,-3.2,0.0,,,https://uprightplatform.com/company/84fffc07-c43d-426f-8560-00482ed457ed/Lennar/
LII,LENNOX,LENNOX,,5195.3,14200.0,11.0,58.0,-14.1,1.9,-7.6,1.3,-2.5,-0.2,17.7,-2.1,0.7,-2.0,0.3,,,https://uprightplatform.com/company/bd8cea0e-76b8-480c-933e-4200a0f9b3ff/Lennox/
LYV,LIVE NATION ENTERTAINMENT,LIVE NATION ENTERTAINMENT,,23156.0,16200.0,55.0,17.0,-4.4,0.2,-1.7,0.1,-0.3,-0.3,13.3,-1.7,8.8,-3.8,0.4,,,https://uprightplatform.com/company/a1c65c7d-22da-4fd8-8afe-265f739e4db5/Live%20Nation%20Entertainment/
LMT,LOCKHEED MARTIN,LOCKHEED MARTIN,,71043.0,121000.0,-102.0,96.0,-14.0,0.4,-6.5,0.3,-2.2,-12.7,17.3,-13.2,1.7,-3.3,2.0,,,https://uprightplatform.com/company/a4f64e04-c99d-4598-bd4a-4d56851293eb/Lockheed%20Martin/
L,LOEWS,LOEWS,,17510.0,13000.0,-13.0,74.0,-7.4,0.2,-4.0,0.1,-1.1,-1.0,10.6,-0.7,1.2,-4.5,0.1,,,https://uprightplatform.com/company/8f3eb6c4-a83c-4166-b8a8-04aad0aa45f2/Loews/
LULU,LULULEMON ATHLETICA,LULULEMON ATHLETICA,,11102.6,38000.0,-35.0,82.0,-16.6,0.7,-6.1,0.5,-1.9,-2.0,9.1,-1.2,5.8,-1.7,0.3,,,https://uprightplatform.com/company/c4e34466-0200-41a1-a950-caf6ee673868/Lululemon%20Athletica/
LITE,LUMENTUM,LUMENTUM,,2105.2,10562.0,27.0,44.0,-7.1,0.4,-2.7,0.3,-0.8,-0.2,12.3,-2.8,2.0,-4.6,5.3,,,https://uprightplatform.com/company/8bfcc011-9fd6-4be7-bc67-5335575ef0d7/Lumentum/
MRSH,MARSH & MCLENNAN COMPANIES,MARSH & MCLENNAN COMPANIES,,24458.0,90000.0,15.0,54.0,-1.9,0.2,-0.9,0.1,-0.3,-0.7,6.1,-0.3,1.1,-5.7,2.8,,,https://uprightplatform.com/company/b77eaa35-fca2-4fa9-b9c4-0af0ff7f10cb/Marsh%20%26%20McLennan%20Companies/
MLM,MARTIN MARIETTA MATERIALS,MARTIN MARIETTA MATERIALS,,6684.0,9600.0,-64.0,90.0,-22.2,1.6,-11.2,1.0,-3.3,-0.9,13.7,-2.4,1.1,-1.5,0.1,,,https://uprightplatform.com/company/2be6bade-4483-4823-ac33-8102fefa0034/Martin%20Marietta%20Materials/
MRVL,MARVELL TECHNOLOGY,MARVELL TECHNOLOGY,,8194.6,7480.0,16.0,53.0,-7.1,0.3,-3.0,0.2,-1.0,-0.3,8.0,-1.2,0.6,-2.7,4.5,,,https://uprightplatform.com/company/12f88f89-be87-4847-9e49-78c79daed893/Marvell%20Technology/
MAS,MASCO,MASCO,,7562.0,18000.0,5.0,63.0,-11.1,1.5,-5.9,0.8,-1.5,-0.3,12.8,-1.8,1.3,-1.6,0.0,,,https://uprightplatform.com/company/97058e21-ea16-470c-a0d1-853e5b93f04c/Masco/
MCK,MCKESSON,MCKESSON,,308951.0,43000.0,51.0,20.0,-5.5,0.2,-2.5,0.1,-0.9,-0.6,10.4,-2.2,15.7,-5.3,1.8,,,https://uprightplatform.com/company/32643ff7-5d79-44c6-9a70-d6bdc5495746/McKesson/
MCHP,MICROCHIP TECHNOLOGY,MICROCHIP TECHNOLOGY,,7634.4,19400.0,16.0,53.0,-7.7,0.6,-3.4,0.4,-1.1,-0.3,9.1,-1.2,1.8,-2.1,2.0,,,https://uprightplatform.com/company/84344e3b-70bf-4665-a849-09cd9a630fc9/Microchip%20Technology/
MAA,MID-AMERICA APARTMENT COMMUNITIES,MID-AMERICA APARTMENT COMMUNITIES,,2163.06,2532.0,8.0,61.0,-11.4,0.4,-6.3,0.3,-1.2,-0.4,15.7,-1.4,2.2,-3.6,0.0,,,https://uprightplatform.com/company/b245f18c-86ce-428c-84bf-737aee3bf4b8/Mid-America%20Apartment%20Communities/
MPWR,MONOLITHIC POWER SYSTEMS,MONOLITHIC POWER SYSTEMS,,1821.07,4017.0,-28.0,80.0,-10.1,0.4,-4.5,0.3,-1.4,-0.4,8.6,-1.6,0.9,-3.0,1.8,,,https://uprightplatform.com/company/c30f420c-a75b-4b71-9936-cca32d36711f/Monolithic%20Power%20Systems/
MNST,MONSTER BEVERAGE,MONSTER BEVERAGE,,7140.0,6003.0,-382.0,100.0,-15.7,0.2,-6.3,0.1,-3.0,-0.1,5.7,-23.2,2.5,-2.0,0.0,,,https://uprightplatform.com/company/7439e959-6f29-46d2-95c2-d41f0c33b07b/Monster%20Beverage/
NTAP,NETAPP,NETAPP,,6362.0,11700.0,39.0,32.0,-3.8,0.4,-1.9,0.3,-0.4,-0.3,10.5,-1.0,0.9,-5.9,6.4,,,https://uprightplatform.com/company/4189f3fd-2697-49b1-afdf-c4e046f3d7ba/NetApp/
NI,NISOURCE,NISOURCE,,6642.2,7687.0,-21.0,77.0,-29.6,4.1,-16.0,3.5,-4.6,-2.0,26.1,-2.6,0.4,-3.2,0.3,,,https://uprightplatform.com/company/343ba411-e4e3-4adc-8344-11746eb4a3db/NiSource/
NOC,NORTHROP GRUMMAN,NORTHROP GRUMMAN,,41033.0,97000.0,-81.0,93.0,-11.9,0.4,-5.1,0.2,-1.8,-11.4,16.8,-12.0,1.5,-3.9,3.0,,,https://uprightplatform.com/company/33f91076-a3cc-4ebb-a3a7-c5130b35a81c/Northrop%20Grumman/
NRG,NRG ENERGY,NRG ENERGY,,30713.0,16702.0,1.0,66.0,-25.3,7.2,-15.3,5.8,-3.5,-1.1,23.9,-2.5,0.6,-3.9,1.2,,,https://uprightplatform.com/company/a518e14f-86eb-4be0-a6a5-31721d47d555/NRG%20Energy/
NUE,NUCOR,NUCOR,,30734.0,32700.0,-72.0,91.0,-17.5,1.0,-9.3,0.7,-2.1,-1.6,11.3,-2.6,1.1,-1.9,0.2,,,https://uprightplatform.com/company/c183e2da-bb36-480d-991f-e07d13d48a7c/Nucor/
NVR,NVR,NVR,,10723.04,7000.0,36.0,36.0,-19.8,0.6,-11.6,0.4,-2.3,-0.6,35.7,-1.7,2.0,-2.6,0.0,,,https://uprightplatform.com/company/539f9601-385f-4eba-b1db-144b79478fbd/NVR/
ORLY,O'REILLY AUTOMOTIVE,O'REILLY AUTOMOTIVE,,17781.99,78258.0,-12.0,73.0,-12.8,2.5,-6.7,0.9,-2.6,-0.2,11.6,-2.1,0.7,-2.8,1.1,,,https://uprightplatform.com/company/fefebc9e-5a6d-413e-82d3-ce4c084d91c1/O'Reilly%20Automotive/
OXY,OCCIDENTAL PETROLEUM,OCCIDENTAL PETROLEUM,,26880.0,12570.0,-134.0,98.0,-30.0,1.0,-16.6,0.7,-5.3,-2.8,15.1,-4.4,0.6,-2.0,0.1,,,https://uprightplatform.com/company/9bb7a50d-12bd-4d48-bc04-8bc4e9285821/Occidental%20Petroleum/
ODFL,OLD DOMINION FREIGHT LINE,OLD DOMINION FREIGHT LINE,,5638.62,21895.0,-87.0,94.0,-29.8,0.2,-13.7,0.2,-8.4,-0.5,17.5,-1.7,0.2,-1.4,0.0,,,https://uprightplatform.com/company/a97bfca1-d2e8-4236-bcde-89a1f13104de/Old%20Dominion%20Freight%20Line/
PKG,PACKAGING CORPORATION OF AMERICA,PACKAGING CORPORATION OF AMERICA,,8640.8,15400.0,-48.0,87.0,-17.3,4.9,-8.2,2.8,-2.1,-1.0,8.1,-1.7,1.7,-1.8,0.2,,,https://uprightplatform.com/company/a146d203-d87c-4700-953e-34c135ae8785/Packaging%20Corporation%20Of%20America/
PLTR,PALANTIR TECHNOLOGIES,PALANTIR TECHNOLOGIES,,2478.98,4001.0,18.0,52.0,-5.9,0.4,-2.5,0.3,-0.8,-3.6,16.8,-4.5,3.0,-6.4,4.8,,,https://uprightplatform.com/company/5fe3946e-1141-462a-9382-64984fa15c5e/Palantir%20Technologies/
PANW,PALO ALTO NETWORKS,PALO ALTO NETWORKS,,9221.5,16068.0,51.0,20.0,-4.1,0.3,-1.8,0.2,-0.5,-0.3,15.5,-0.8,1.7,-7.2,7.7,,,https://uprightplatform.com/company/688040e8-bd13-480a-82a0-89a820acfa38/Palo%20Alto%20Networks/
PM,PHILIP MORRIS,PHILIP MORRIS,,37878.0,82700.0,-690.0,100.0,-10.2,0.0,-1.6,,-3.5,-8.5,17.2,-145.8,3.8,-1.9,0.0,,,https://uprightplatform.com/company/7d72f592-582d-432e-af2d-f4e859f8ed6f/Philip%20Morris/
PNW,PINNACLE WEST CAPITAL,PINNACLE WEST CAPITAL,,4695.99,6133.0,-27.0,80.0,-29.1,8.2,-16.6,6.1,-4.5,-1.8,19.3,-2.9,0.6,-3.2,0.9,,,https://uprightplatform.com/company/e15ea77b-c5a1-445d-9e48-220e5de04535/Pinnacle%20West%20Capital/
PPL,PPL,PPL,,9042.0,6546.0,11.0,58.0,-24.1,6.2,-14.7,5.1,-3.0,-1.0,27.3,-2.3,0.5,-3.5,0.7,,,https://uprightplatform.com/company/70b016ea-701f-4605-8529-af06e3d0dd40/PPL/
PTC,PTC,PTC,,2097.1,7501.0,34.0,38.0,-5.2,0.3,-2.4,0.2,-0.6,-0.3,12.4,-1.5,1.3,-5.8,5.2,,,https://uprightplatform.com/company/40879f56-33a7-46ed-b07f-e34c799ced10/PTC/
PSA,PUBLIC STORAGE,PUBLIC STORAGE,,4785.75,5380.0,12.0,57.0,-8.2,1.0,-4.0,0.7,-1.0,-0.3,12.2,-1.0,0.6,-3.1,0.4,,,https://uprightplatform.com/company/8dc294cd-ede4-4489-86eb-4ba0f98964ba/Public%20Storage/
RTX,RTX,RTX,,87.44,316.0,56.0,16.0,-3.5,0.5,-1.7,0.3,-0.5,-0.2,11.1,-1.9,1.7,-4.6,9.9,,,https://uprightplatform.com/company/c8f6a89a-ec48-44bd-a3e0-d7743802693a/Rtx/
RMD,RESMED,RESMED,,5398.12,10600.0,70.0,4.0,-2.4,0.0,-1.3,,-0.2,-0.1,9.2,-0.3,7.0,-2.8,2.8,,,https://uprightplatform.com/company/f20b15a5-9450-4a3f-b3ee-ee157a072f51/Resmed/
HOOD,ROBINHOOD,ROBINHOOD,,3260.0,2300.0,-39.0,84.0,-3.6,0.1,-2.5,0.1,-0.4,-1.0,7.0,-0.2,0.3,-6.2,0.5,,,https://uprightplatform.com/company/9c7210f6-f880-4c44-815b-662c7c26f4e3/Robinhood/
ROL,ROLLINS,ROLLINS,,2695.82,17515.0,12.0,57.0,-15.8,0.1,-5.4,0.1,-4.1,-0.3,19.5,-2.0,3.0,-1.7,0.0,,,https://uprightplatform.com/company/4925dd20-f272-4461-87eb-7355a9f10b8b/Rollins/
ROP,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES,,7468.1,18200.0,38.0,34.0,-5.7,0.4,-2.8,0.2,-0.7,-0.4,11.4,-0.8,2.9,-4.4,3.4,,,https://uprightplatform.com/company/1d87813c-3a35-4b18-8c97-7f1ec51caee3/Roper%20Technologies/
ROST,ROSS STORES,ROSS STORES,,21129.0,107000.0,-42.0,85.0,-15.5,0.9,-7.4,0.6,-2.1,-1.0,12.3,-2.4,2.4,-3.5,0.2,,,https://uprightplatform.com/company/34ed4c64-86d3-412b-8cb6-4d7857cedf83/Ross%20Stores/
